nohup: ignoring input
2025-02-21 17:12:59,727 - INFO - Dataset carregado com 2976 amostras.
2025-02-21 17:12:59,728 - INFO - Super Fold: 2529, Teste: 447
2025-02-21 17:13:10,208 - INFO - Modelo carregado a partir de: /home/thalles.fontainha/3dCnnOtimizada/best_model_fold_2.pth
2025-02-21 17:13:10,208 - INFO - Iniciando treinamento no Super Fold com Early Stopping...
2025-02-22 04:05:46,632 - INFO - Época 114 | Loss: 0.0001 | Acurácia: 83.67% | AUC: 0.9194 | F1: 0.8032
2025-02-22 04:11:34,168 - INFO - Época 115 | Loss: 0.0000 | Acurácia: 84.34% | AUC: 0.9196 | F1: 0.8138
2025-02-22 04:17:16,290 - INFO - Época 116 | Loss: 0.0000 | Acurácia: 84.56% | AUC: 0.9194 | F1: 0.8189
2025-02-22 04:23:00,598 - INFO - Época 117 | Loss: 0.0000 | Acurácia: 84.12% | AUC: 0.9195 | F1: 0.8127
2025-02-22 04:28:49,973 - INFO - Época 118 | Loss: 0.0255 | Acurácia: 81.66% | AUC: 0.8822 | F1: 0.7602
2025-02-22 04:34:34,281 - INFO - Época 119 | Loss: 0.1634 | Acurácia: 82.55% | AUC: 0.9023 | F1: 0.7958
2025-02-22 04:40:17,534 - INFO - Época 120 | Loss: 0.0277 | Acurácia: 81.66% | AUC: 0.8990 | F1: 0.7897
2025-02-22 04:45:59,839 - INFO - Época 121 | Loss: 0.0129 | Acurácia: 82.77% | AUC: 0.9034 | F1: 0.8000
2025-02-22 04:51:40,085 - INFO - Época 122 | Loss: 0.0008 | Acurácia: 83.45% | AUC: 0.9029 | F1: 0.8053
2025-02-22 04:57:25,824 - INFO - Época 123 | Loss: 0.0006 | Acurácia: 83.00% | AUC: 0.9021 | F1: 0.8031
2025-02-22 05:03:09,825 - INFO - Época 124 | Loss: 0.0004 | Acurácia: 83.00% | AUC: 0.9018 | F1: 0.8031
2025-02-22 05:08:53,289 - INFO - Época 125 | Loss: 0.0002 | Acurácia: 83.22% | AUC: 0.9015 | F1: 0.8042
2025-02-22 05:14:38,779 - INFO - Época 126 | Loss: 0.0002 | Acurácia: 83.45% | AUC: 0.9013 | F1: 0.8042
2025-02-22 05:20:21,080 - INFO - Época 127 | Loss: 0.0001 | Acurácia: 82.55% | AUC: 0.9011 | F1: 0.7969
2025-02-22 05:26:02,283 - INFO - Época 128 | Loss: 0.0001 | Acurácia: 83.22% | AUC: 0.9023 | F1: 0.8021
2025-02-22 05:31:47,577 - INFO - Época 129 | Loss: 0.0001 | Acurácia: 82.77% | AUC: 0.9027 | F1: 0.7979
2025-02-22 05:37:28,900 - INFO - Época 130 | Loss: 0.0001 | Acurácia: 83.00% | AUC: 0.9010 | F1: 0.8010
2025-02-22 05:43:08,022 - INFO - Época 131 | Loss: 0.0001 | Acurácia: 82.77% | AUC: 0.9017 | F1: 0.8000
2025-02-22 05:48:49,794 - INFO - Época 132 | Loss: 0.0001 | Acurácia: 82.77% | AUC: 0.9015 | F1: 0.8000
