nohup: ignoring input
Número de GPUs detectadas: 2
GPU 1: NVIDIA GeForce RTX 2080 Ti com 10.75 GB de memória
GPU 2: NVIDIA GeForce RTX 2080 Ti com 10.75 GB de memória

Fold 1/5
Fold 2 | Época 52/1000 | Treino: 0.0122 | Val: 0.0771 | Acurácia: 79.66% | AUC: 0.9106 | F1: 0.8045
Fold 2 | Época 53/1000 | Treino: 0.0110 | Val: 0.0965 | Acurácia: 83.36% | AUC: 0.9036 | F1: 0.8170
Fold 2 - Early stopping at epoch 53

Fold 3/5
Fold 3 | Época 1/1000 | Treino: 0.0854 | Val: 0.0776 | Acurácia: 61.85% | AUC: 0.7616 | F1: 0.6969
Fold 3 | Época 2/1000 | Treino: 0.0733 | Val: 0.0745 | Acurácia: 60.50% | AUC: 0.8313 | F1: 0.6999
Fold 3 | Época 3/1000 | Treino: 0.0679 | Val: 0.2055 | Acurácia: 66.89% | AUC: 0.8216 | F1: 0.4718
Fold 3 | Época 4/1000 | Treino: 0.0641 | Val: 0.0606 | Acurácia: 69.24% | AUC: 0.8719 | F1: 0.7455
Fold 3 | Época 5/1000 | Treino: 0.0581 | Val: 0.0808 | Acurácia: 75.97% | AUC: 0.8478 | F1: 0.7539
Fold 3 | Época 6/1000 | Treino: 0.0567 | Val: 0.0602 | Acurácia: 73.78% | AUC: 0.8743 | F1: 0.7685
Fold 3 | Época 7/1000 | Treino: 0.0561 | Val: 0.1640 | Acurácia: 71.60% | AUC: 0.8561 | F1: 0.5947
Fold 3 | Época 8/1000 | Treino: 0.0522 | Val: 0.0924 | Acurácia: 79.33% | AUC: 0.8702 | F1: 0.7621
Fold 3 | Época 9/1000 | Treino: 0.0509 | Val: 0.0764 | Acurácia: 61.85% | AUC: 0.8760 | F1: 0.7079
Fold 3 | Época 10/1000 | Treino: 0.0479 | Val: 0.0740 | Acurácia: 79.50% | AUC: 0.8875 | F1: 0.7925
Fold 3 | Época 11/1000 | Treino: 0.0488 | Val: 0.0836 | Acurácia: 80.17% | AUC: 0.8791 | F1: 0.7765
Fold 3 | Época 12/1000 | Treino: 0.0441 | Val: 0.0630 | Acurácia: 73.11% | AUC: 0.8978 | F1: 0.7708
Fold 3 | Época 13/1000 | Treino: 0.0448 | Val: 0.0626 | Acurácia: 66.22% | AUC: 0.8965 | F1: 0.7295
Fold 3 | Época 14/1000 | Treino: 0.0430 | Val: 0.0558 | Acurácia: 74.96% | AUC: 0.9025 | F1: 0.7793
